Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,AMP,150.59718932248512,2025-07-31,509.76879882812494,11.515462246172245,2025-08-04,499.6463623046875,11.286800672743501,1501.6082266060316,0.019559895137147034,Short,Closed,0
1,BXP,1184.334943541771,2026-01-21,64.36058807373047,11.433674016392514,2026-01-22,63.843204498291016,11.341760699251383,-635.530882323175,-0.00833762027951835,Long,Closed,1
2,ADI,138.41332761419594,2024-11-01,218.9285888671875,4.545395174248145,2024-11-05,211.27755737304688,4.386544464930392,1050.072789145839,0.03465285466580576,Short,Closed,2
3,ANET,846.6432428128361,2026-03-23,135.8800048828125,17.256283195111255,2026-03-25,135.00999450683594,17.14579493421161,702.186327868286,0.006103744820905729,Short,Closed,3
4,ANET,441.3657777302176,2026-04-22,177.72999572753906,11.766590668541028,2026-04-24,176.91000366210938,11.71230320318738,338.4375418192612,0.004314387463873913,Short,Closed,4
5,ANET,479.1319996231023,2026-04-28,165.2899932861328,11.879358750131093,2026-04-30,172.7100067138672,12.41263363076019,3530.8738784797497,0.044584147420088455,Long,Closed,5
6,ANET,44.39664754847986,2026-05-01,172.6999969482422,1.1500951344201982,2026-05-05,170.22000122070312,1.1335796099846052,107.819821492883,0.01406229166605925,Short,Closed,6
7,ATO,473.4616760880089,2025-01-28,135.9869842529297,9.657693823581864,2025-01-29,135.57362365722656,9.628337263511312,176.4243693832501,0.0027401630131273537,Short,Closed,7
8,AVGO,661.5323021894774,2024-09-27,170.05972290039062,16.875,2024-10-02,168.0606231689453,16.67662964285259,1288.9174180065327,0.011457043715613624,Short,Closed,8
9,AVGO,91.59748952195923,2024-10-16,174.12681579589844,2.3924368778035396,2024-10-18,177.15003967285156,2.433974835412302,-281.7461291049668,-0.017664800170002836,Short,Closed,9
10,AVGO,340.23648164089,2024-10-16,174.12681579589844,8.886644274859174,2024-10-28,169.39991760253906,8.645404793301685,1590.731161315112,0.026850368577518872,Short,Closed,9
11,AVGO,235.69695837230526,2025-12-15,337.916259765625,11.94687519169554,2025-12-17,324.2030944824219,11.462052489659388,-3255.5602745890296,-0.04087546185531452,Long,Closed,10
12,AVGO,6.540185860985758,2026-01-22,324.2953796386719,0.31814280850437754,2026-01-23,318.8753662109375,0.31282562422641436,-36.07886361915198,-0.017010692677022533,Long,Closed,11
13,AVGO,228.04570598180882,2026-01-22,324.2953796386719,11.093125319450946,2026-01-26,323.6577453613281,11.071313855610686,-167.57419811011837,-0.002265919566638581,Long,Closed,11
14,AVGO,64.187601356944,2026-05-01,420.61428833007807,4.049733339654863,2026-05-05,426.6846923828125,4.1081800409667375,-397.80258879311697,-0.01473439935777424,Short,Closed,12
15,AVGO,254.48194098345476,2026-05-01,422.87809468785275,16.14222575033249,2026-05-08,429.3205261230469,16.388148118774645,-1672.0128301501315,-0.015537010100193514,Short,Closed,12
